DISTRITO,COD_DIST,UGM,P90_Mean,P90_Dstdev,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,CATEGORIA_AMENAZA_LLUVIOSA
Liberia           ,50101,38541,2465.265,3.507,24.572,Bajo Medio
Liberia           ,50101,38555,2494.906,2.779,27.516,Medio
Liberia           ,50101,38563,2514.044,3.33,29.417,Medio
Liberia           ,50101,38575,2474.503,3.124,25.489,Bajo Medio
Liberia           ,50101,38584,2506.4,2.442,28.657,Medio
Liberia           ,50101,38589,2497.558,2.484,27.779,Medio
Liberia           ,50101,38592,2520.755,0.669,30.083,Alto Medio
Liberia           ,50101,38595,2478.792,3.679,25.915,Bajo Medio
Liberia           ,50101,38606,2487.245,0.567,26.755,Medio
Liberia           ,50101,38611,2471.984,2.649,25.239,Bajo Medio
Liberia           ,50101,38626,2486.233,2.248,26.655,Medio
Liberia           ,50101,38627,2456.638,4.125,23.715,Bajo Medio
Liberia           ,50101,38639,2217.867,6.074,0.0,Bajo
Liberia           ,50101,38662,2510.135,2.361,29.028,Medio
Liberia           ,50101,38668,2448.256,0.0,22.883,Bajo Medio
Liberia           ,50101,38678,2527.481,3.093,30.751,Alto Medio
Liberia           ,50101,38702,2507.934,2.735,28.81,Medio
Liberia           ,50101,38726,2525.611,0.682,30.566,Alto Medio
Liberia           ,50101,38730,2519.619,2.551,29.97,Alto Medio
Liberia           ,50101,38740,2506.857,0.873,28.703,Medio
Liberia           ,50101,38750,2487.04,3.222,26.735,Medio
Liberia           ,50101,38758,2485.963,2.738,26.628,Bajo Medio
Liberia           ,50101,38796,2505.954,2.374,28.613,Medio
Liberia           ,50101,38797,2495.163,0.0,27.541,Medio
Liberia           ,50101,38817,2513.874,2.104,29.4,Medio
Liberia           ,50101,38831,2509.274,2.774,28.943,Medio
Liberia           ,50101,38839,2464.867,2.32,24.532,Bajo Medio
Liberia           ,50101,38840,2454.017,3.427,23.455,Bajo Medio
Liberia           ,50101,38844,2517.577,0.0,29.768,Medio
Liberia           ,50101,38854,2496.504,2.78,27.675,Medio
Liberia           ,50101,38856,2488.084,0.913,26.838,Medio
Liberia           ,50101,38858,2503.53,2.541,28.372,Medio
Liberia           ,50101,38859,2467.201,2.586,24.764,Bajo Medio
Liberia           ,50101,38867,2503.71,2.864,28.39,Medio
Liberia           ,50101,38876,2456.483,2.648,23.7,Bajo Medio
Liberia           ,50101,38878,2522.867,2.497,30.293,Alto Medio
Liberia           ,50101,38879,2528.895,0.569,30.892,Alto Medio
Liberia           ,50101,38885,2486.953,2.307,26.726,Medio
Liberia           ,50101,38886,2486.444,2.649,26.675,Medio
Liberia           ,50101,38893,2501.114,2.668,28.132,Medio
Liberia           ,50101,38901,2532.075,0.699,31.208,Alto Medio
Liberia           ,50101,38903,2470.029,0.776,25.045,Bajo Medio
Liberia           ,50101,38911,2571.581,0.717,35.131,Alto Medio
Liberia           ,50101,38929,2523.45,2.919,30.351,Alto Medio
Liberia           ,50101,38933,2520.094,0.0,30.018,Alto Medio
Liberia           ,50101,38934,2429.019,3.763,20.972,Bajo Medio
Liberia           ,50101,38935,2524.661,0.0,30.471,Alto Medio
Liberia           ,50101,38943,2482.644,2.143,26.298,Bajo Medio
Liberia           ,50101,38949,2524.077,0.648,30.413,Alto Medio
Liberia           ,50101,38971,2524.928,0.826,30.498,Alto Medio
Liberia           ,50101,38978,2501.897,0.735,28.21,Medio
Liberia           ,50101,38987,2444.448,2.186,22.504,Bajo Medio
Liberia           ,50101,38990,2522.401,0.0,30.247,Alto Medio
Liberia           ,50101,39037,2481.433,3.197,26.178,Bajo Medio
Liberia           ,50101,39041,2503.991,2.809,28.418,Medio
Liberia           ,50101,39061,2543.396,0.0,32.332,Alto Medio
Liberia           ,50101,39071,2512.16,3.36,29.23,Medio
Liberia           ,50101,39073,2476.382,2.837,25.676,Bajo Medio
Liberia           ,50101,39080,2522.438,2.093,30.25,Alto Medio
Liberia           ,50101,39119,2468.874,2.397,24.93,Bajo Medio
Liberia           ,50101,39121,2472.687,2.496,25.309,Bajo Medio
Liberia           ,50101,39122,2523.143,0.594,30.32,Alto Medio
Liberia           ,50101,39129,2518.947,2.691,29.904,Medio
Liberia           ,50101,39132,2480.993,2.497,26.134,Bajo Medio
Liberia           ,50101,39134,2521.325,0.568,30.14,Alto Medio
Liberia           ,50101,39139,2512.874,2.63,29.301,Medio
Liberia           ,50101,39140,2499.081,3.997,27.931,Medio
Liberia           ,50101,39151,2483.654,0.0,26.398,Bajo Medio
Liberia           ,50101,39156,2448.715,0.701,22.928,Bajo Medio
Liberia           ,50101,39158,2514.773,0.598,29.489,Medio
Liberia           ,50101,39161,2480.235,2.966,26.059,Bajo Medio
Liberia           ,50101,39166,2544.768,3.339,32.468,Alto Medio
Liberia           ,50101,39171,2514.849,3.383,29.497,Medio
Liberia           ,50101,39199,2526.877,2.614,30.691,Alto Medio
Liberia           ,50101,39204,2484.044,2.364,26.437,Bajo Medio
Liberia           ,50101,39210,2479.094,0.0,25.945,Bajo Medio
Liberia           ,50101,39214,2463.612,2.525,24.408,Bajo Medio
Liberia           ,50101,39218,2547.531,0.582,32.743,Alto Medio
Liberia           ,50101,39251,2538.99,2.771,31.894,Alto Medio
Liberia           ,50101,39290,2514.284,2.58,29.441,Medio
Liberia           ,50101,39319,2501.809,3.245,28.202,Medio
Liberia           ,50101,39320,2420.326,3.676,20.109,Bajo
Liberia           ,50101,39324,2516.539,0.738,29.664,Medio
Liberia           ,50101,39327,2513.557,0.589,29.368,Medio
Liberia           ,50101,39334,2548.702,2.751,32.859,Alto Medio
Liberia           ,50101,39354,2521.358,3.067,30.143,Alto Medio
Liberia           ,50101,39356,2483.654,0.0,26.398,Bajo Medio
Liberia           ,50101,39379,2448.975,2.939,22.954,Bajo Medio
Liberia           ,50101,39380,2524.408,2.773,30.446,Alto Medio
Liberia           ,50101,39384,2455.819,0.0,23.634,Bajo Medio
Liberia           ,50101,39413,2479.918,2.351,26.027,Bajo Medio
Liberia           ,50101,39414,2490.563,0.0,27.085,Medio
Liberia           ,50101,39418,2524.591,3.16,30.464,Alto Medio
Liberia           ,50101,39421,2504.576,2.816,28.476,Medio
Liberia           ,50101,39436,2498.292,3.524,27.852,Medio
Liberia           ,50101,39439,2448.7,3.112,22.927,Bajo Medio
Liberia           ,50101,39454,2534.64,2.854,31.462,Alto Medio
Liberia           ,50101,39502,2492.823,0.0,27.309,Medio
Liberia           ,50101,39507,2498.879,2.663,27.91,Medio
Liberia           ,50101,39508,2490.243,2.403,27.053,Medio
Liberia           ,50101,39509,2493.378,0.555,27.364,Medio
Liberia           ,50101,39522,2507.182,3.209,28.735,Medio
Liberia           ,50101,39525,2274.269,3.74,5.602,Bajo
Liberia           ,50101,39529,2364.444,1.434,14.558,Bajo
Liberia           ,50101,39566,2508.168,0.0,28.833,Medio
Liberia           ,50101,39577,2506.983,0.846,28.715,Medio
Liberia           ,50101,39580,2482.113,2.728,26.245,Bajo Medio
Liberia           ,50101,39581,2444.045,2.272,22.464,Bajo Medio
Liberia           ,50101,39600,2417.38,1.659,19.816,Bajo
Liberia           ,50101,39616,2536.847,0.641,31.682,Alto Medio
Liberia           ,50101,39617,2535.122,0.681,31.51,Alto Medio
Liberia           ,50101,39635,2524.931,0.828,30.498,Alto Medio
Liberia           ,50101,39657,2485.624,3.009,26.594,Bajo Medio
Liberia           ,50101,39674,2409.624,1.931,19.046,Bajo
Liberia           ,50101,39696,2507.357,2.464,28.753,Medio
Liberia           ,50101,39723,2489.506,2.492,26.98,Medio
Liberia           ,50101,39728,2450.597,0.684,23.115,Bajo Medio
Liberia           ,50101,39732,2501.923,2.885,28.213,Medio
Liberia           ,50101,39740,2525.219,2.873,30.527,Alto Medio
Liberia           ,50101,39772,2537.245,0.0,31.721,Alto Medio
Liberia           ,50101,39796,2504.583,3.854,28.477,Medio
Liberia           ,50101,39831,2440.588,5.304,22.121,Bajo Medio
Liberia           ,50101,39905,2496.722,3.207,27.696,Medio
Liberia           ,50101,39907,2489.656,2.595,26.994,Medio
Liberia           ,50101,39913,2465.504,0.923,24.596,Bajo Medio
Liberia           ,50101,39922,2489.561,2.684,26.985,Medio
Liberia           ,50101,39924,2479.534,2.669,25.989,Bajo Medio
Liberia           ,50101,39933,2582.508,2.694,36.217,Alto Medio
Liberia           ,50101,39944,2548.115,0.697,32.801,Alto Medio
Liberia           ,50101,39947,2510.68,0.762,29.083,Medio
Liberia           ,50101,39964,2457.969,2.486,23.847,Bajo Medio
Liberia           ,50101,39982,2506.415,3.263,28.659,Medio
Liberia           ,50101,39998,2446.79,1.811,22.737,Bajo Medio
Liberia           ,50101,39999,2515.916,0.65,29.603,Medio
Liberia           ,50101,40011,2469.468,2.313,24.989,Bajo Medio
Liberia           ,50101,40016,2502.655,3.12,28.286,Medio
Liberia           ,50101,40025,2524.229,2.737,30.428,Alto Medio
Liberia           ,50101,40032,2522.175,2.529,30.224,Alto Medio
Liberia           ,50101,40038,2447.289,2.221,22.787,Bajo Medio
Liberia           ,50101,40089,2488.662,2.999,26.896,Medio
Liberia           ,50101,40128,2481.226,2.463,26.157,Bajo Medio
Liberia           ,50101,40134,2409.116,1.86,18.995,Bajo
Liberia           ,50101,40158,2483.93,0.653,26.426,Bajo Medio
Liberia           ,50101,40231,2480.094,0.852,26.045,Bajo Medio
Liberia           ,50101,40233,2508.611,2.547,28.877,Medio
Liberia           ,50101,40242,2467.166,0.528,24.761,Bajo Medio
Liberia           ,50101,40250,2526.064,2.971,30.611,Alto Medio
Liberia           ,50101,40276,2470.38,2.687,25.08,Bajo Medio
Liberia           ,50101,40286,2506.052,3.325,28.623,Medio
Liberia           ,50101,40313,2520.094,0.0,30.018,Alto Medio
Liberia           ,50101,40327,2492.893,0.819,27.316,Medio
Liberia           ,50101,40328,2491.78,2.483,27.205,Medio
Liberia           ,50101,40340,2494.443,2.764,27.47,Medio
Liberia           ,50101,40419,2522.356,3.234,30.242,Alto Medio
Liberia           ,50101,40422,2406.888,2.868,18.774,Bajo
Liberia           ,50101,40424,2497.319,3.181,27.756,Medio
Liberia           ,50101,40437,2493.865,0.739,27.413,Medio
Liberia           ,50101,40441,2511.255,2.475,29.14,Medio
Liberia           ,50101,40463,2570.106,3.002,34.985,Alto Medio
Liberia           ,50101,40465,2529.526,0.0,30.954,Alto Medio
Liberia           ,50101,40467,2579.159,3.026,35.884,Alto Medio
Liberia           ,50101,40496,2542.43,3.536,32.236,Alto Medio
Liberia           ,50101,40523,2492.015,3.239,27.229,Medio
Liberia           ,50101,40529,2473.358,0.792,25.376,Bajo Medio
Liberia           ,50101,40534,2488.053,2.661,26.835,Medio
Liberia           ,50101,40547,2525.994,2.797,30.604,Alto Medio
Liberia           ,50101,40574,2491.263,2.392,27.154,Medio
Liberia           ,50101,40589,2455.045,2.359,23.557,Bajo Medio
Liberia           ,50101,40611,2470.074,0.768,25.05,Bajo Medio
Liberia           ,50101,40612,2532.088,3.294,31.209,Alto Medio
Liberia           ,50101,40634,2519.879,0.589,29.996,Alto Medio
Liberia           ,50101,40652,2501.804,0.615,28.201,Medio
Liberia           ,50101,40662,2439.035,5.836,21.967,Bajo Medio
Liberia           ,50101,40668,2514.947,2.106,29.506,Medio
Liberia           ,50101,40676,2531.115,2.598,31.112,Alto Medio
Liberia           ,50101,40683,2521.933,0.601,30.2,Alto Medio
Liberia           ,50101,40686,2508.5,2.715,28.866,Medio
Liberia           ,50101,40704,2477.674,2.35,25.804,Bajo Medio
Liberia           ,50101,40735,2515.837,0.628,29.595,Medio
Liberia           ,50101,40736,2485.889,0.838,26.62,Bajo Medio
Liberia           ,50101,40741,2485.976,2.448,26.629,Medio
Liberia           ,50101,40744,2496.184,0.7,27.643,Medio
Liberia           ,50101,40747,2469.154,2.306,24.958,Bajo Medio
Liberia           ,50101,40752,2551.887,3.038,33.175,Alto Medio
Liberia           ,50101,40755,2430.852,10.378,21.154,Bajo Medio
Liberia           ,50101,40764,2514.101,0.822,29.422,Medio
Liberia           ,50101,40782,2468.566,2.3,24.9,Bajo Medio
Liberia           ,50101,40827,2555.118,3.649,33.496,Alto Medio
Liberia           ,50101,40828,2465.064,3.196,24.552,Bajo Medio
Liberia           ,50101,40844,2484.811,0.0,26.513,Bajo Medio
Liberia           ,50101,40845,2506.176,0.559,28.635,Medio
Liberia           ,50101,40860,2541.367,3.333,32.13,Alto Medio
Liberia           ,50101,40864,2482.483,0.0,26.282,Bajo Medio
Liberia           ,50101,40865,2492.428,2.462,27.27,Medio
Liberia           ,50101,40914,2504.321,0.872,28.451,Medio
Liberia           ,50101,40925,2517.725,2.294,29.782,Medio
Liberia           ,50101,40937,2526.118,2.621,30.616,Alto Medio
Liberia           ,50101,40950,2471.95,2.564,25.236,Bajo Medio
Liberia           ,50101,40951,2505.34,0.72,28.552,Medio
Liberia           ,50101,40958,2520.643,0.63,30.072,Alto Medio
Liberia           ,50101,40961,2496.507,2.697,27.675,Medio
Liberia           ,50101,40981,2501.679,2.434,28.189,Medio
Liberia           ,50101,41013,2511.75,0.0,29.189,Medio
Liberia           ,50101,41014,2524.937,0.0,30.499,Alto Medio
Liberia           ,50101,41022,2520.89,2.916,30.097,Alto Medio
Liberia           ,50101,41041,2510.979,2.645,29.112,Medio
Liberia           ,50101,41048,2507.431,2.796,28.76,Medio
Liberia           ,50101,41051,2420.683,5.032,20.144,Bajo
Liberia           ,50101,41065,2522.735,3.184,30.28,Alto Medio
Liberia           ,50101,41075,2444.821,2.346,22.541,Bajo Medio
Liberia           ,50101,41168,2514.47,0.642,29.459,Medio
Liberia           ,50101,41169,2515.227,2.58,29.534,Medio
Liberia           ,50101,41206,2515.247,3.395,29.536,Medio
Liberia           ,50101,41231,2488.74,2.333,26.903,Medio
Liberia           ,50101,41279,2375.7,6.287,15.676,Bajo
Liberia           ,50101,41284,2509.079,2.662,28.924,Medio
Liberia           ,50101,41322,2535.693,2.935,31.567,Alto Medio
Liberia           ,50101,41345,2512.683,2.772,29.281,Medio
Liberia           ,50101,41378,2500.557,2.633,28.077,Medio
Liberia           ,50101,41392,2507.785,2.432,28.795,Medio
Liberia           ,50101,41400,2525.605,2.529,30.565,Alto Medio
Liberia           ,50101,41428,2459.101,0.755,23.96,Bajo Medio
Liberia           ,50101,41429,2531.103,3.143,31.111,Alto Medio
Liberia           ,50101,41455,2514.659,2.781,29.478,Medio
Liberia           ,50101,41460,2500.925,2.378,28.114,Medio
Liberia           ,50101,41487,2516.465,0.0,29.657,Medio
Liberia           ,50101,41489,2513.194,2.792,29.332,Medio
Liberia           ,50101,41493,2522.296,0.578,30.236,Alto Medio
Liberia           ,50101,41505,2467.516,2.498,24.795,Bajo Medio
Liberia           ,50101,41518,2504.201,3.242,28.439,Medio
Liberia           ,50101,41554,2500.145,2.531,28.036,Medio
Liberia           ,50101,41560,2500.17,2.406,28.039,Medio
Liberia           ,50101,41564,2451.84,3.089,23.238,Bajo Medio
Liberia           ,50101,41587,2495.546,3.047,27.579,Medio
Liberia           ,50101,41590,2452.165,0.708,23.271,Bajo Medio
Liberia           ,50101,41592,2502.383,0.746,28.259,Medio
Liberia           ,50101,41599,2548.973,0.6,32.886,Alto Medio
Liberia           ,50101,41600,2498.837,2.514,27.906,Medio
Liberia           ,50101,41620,2471.319,2.543,25.173,Bajo Medio
Liberia           ,50101,41647,2498.791,2.455,27.902,Medio
Liberia           ,50101,41676,2480.334,0.702,26.069,Bajo Medio
Liberia           ,50101,41680,2500.587,0.862,28.08,Medio
Liberia           ,50101,41693,2482.751,0.565,26.309,Bajo Medio
Liberia           ,50101,41696,2227.984,8.521,1.005,Bajo
Liberia           ,50101,41703,2524.79,2.854,30.484,Alto Medio
Liberia           ,50101,41716,2500.815,4.955,28.103,Medio
Liberia           ,50101,41726,2503.293,0.0,28.349,Medio
Liberia           ,50101,41748,2454.084,2.988,23.461,Bajo Medio
Liberia           ,50101,41787,2525.851,2.7,30.589,Alto Medio
Liberia           ,50101,41797,2468.116,3.032,24.855,Bajo Medio
Liberia           ,50101,41799,2363.6,2.592,14.474,Bajo
Liberia           ,50101,41822,2513.966,3.038,29.409,Medio
Liberia           ,50101,41823,2543.692,4.157,32.361,Alto Medio
Liberia           ,50101,41848,2520.248,0.799,30.033,Alto Medio
Liberia           ,50101,41900,2463.379,0.696,24.385,Bajo Medio
Liberia           ,50101,41921,2409.802,2.652,19.063,Bajo
Liberia           ,50101,41925,2532.656,2.703,31.265,Alto Medio
Liberia           ,50101,41955,2542.608,2.946,32.254,Alto Medio
Liberia           ,50101,41969,2461.972,2.208,24.245,Bajo Medio
Liberia           ,50101,41971,2520.946,0.63,30.102,Alto Medio
Liberia           ,50101,41972,2545.775,0.0,32.568,Alto Medio
Liberia           ,50101,41988,2506.71,0.681,28.688,Medio
Liberia           ,50101,42017,2495.006,2.612,27.526,Medio
Liberia           ,50101,42029,2468.308,3.248,24.874,Bajo Medio
Liberia           ,50101,42035,2394.455,12.372,17.539,Bajo
Liberia           ,50101,42040,2446.694,2.734,22.727,Bajo Medio
Liberia           ,50101,42049,2449.327,0.708,22.989,Bajo Medio
Liberia           ,50101,42064,2494.955,0.725,27.521,Medio
Liberia           ,50101,42067,2519.825,0.0,29.991,Alto Medio
Liberia           ,50101,42074,2501.998,2.47,28.22,Medio
Liberia           ,50101,42090,2513.369,3.004,29.35,Medio
Liberia           ,50101,42157,2521.383,0.687,30.146,Alto Medio
Liberia           ,50101,42158,2579.143,0.789,35.882,Alto Medio
Liberia           ,50101,42169,2458.96,2.501,23.946,Bajo Medio
Liberia           ,50101,42188,2485.652,0.706,26.597,Bajo Medio
Liberia           ,50101,42201,2580.338,3.582,36.001,Alto Medio
Liberia           ,50101,42220,2518.956,0.639,29.905,Medio
Liberia           ,50101,42223,2516.84,0.67,29.694,Medio
Liberia           ,50101,42244,2491.796,2.628,27.207,Medio
Liberia           ,50101,42258,2472.053,0.622,25.246,Bajo Medio
Liberia           ,50101,42271,2511.226,3.072,29.137,Medio
Liberia           ,50101,42275,2507.969,3.695,28.813,Medio
Liberia           ,50101,42283,2507.23,2.52,28.74,Medio
Liberia           ,50101,42287,2569.365,0.795,34.911,Alto Medio
Liberia           ,50101,42316,2486.442,0.57,26.675,Medio
Liberia           ,50101,42337,2521.101,2.656,30.118,Alto Medio
Liberia           ,50101,42341,2483.742,2.659,26.407,Bajo Medio
Liberia           ,50101,42343,2482.597,3.174,26.293,Bajo Medio
Liberia           ,50101,42382,2493.879,3.16,27.414,Medio
Liberia           ,50101,42399,2487.593,2.399,26.79,Medio
Liberia           ,50101,42402,2508.288,0.749,28.845,Medio
Liberia           ,50101,42413,2475.709,2.253,25.609,Bajo Medio
Liberia           ,50101,42436,2484.532,3.561,26.486,Bajo Medio
Liberia           ,50101,42446,2497.216,0.755,27.745,Medio
Liberia           ,50101,42451,2566.137,2.826,34.591,Alto Medio
Liberia           ,50101,42472,2475.734,4.511,25.612,Bajo Medio
Liberia           ,50101,42478,2495.773,0.0,27.602,Medio
Liberia           ,50101,42487,2498.139,2.864,27.837,Medio
Liberia           ,50101,42499,2531.753,2.521,31.176,Alto Medio
Liberia           ,50101,42550,2534.806,0.869,31.479,Alto Medio
Liberia           ,50101,42557,2512.998,0.792,29.313,Medio
Liberia           ,50101,42562,2459.487,0.695,23.998,Bajo Medio
Liberia           ,50101,42566,2491.08,2.267,27.136,Medio
Liberia           ,50101,42574,2519.685,2.491,29.977,Alto Medio
Liberia           ,50101,42577,2515.019,0.641,29.514,Medio
Liberia           ,50101,42594,2495.03,0.0,27.528,Medio
Liberia           ,50101,42596,2457.277,4.358,23.779,Bajo Medio
Liberia           ,50101,42628,2520.745,0.664,30.082,Alto Medio
Liberia           ,50101,42652,2530.716,2.085,31.073,Alto Medio
Liberia           ,50101,42669,2553.976,0.602,33.383,Alto Medio
Liberia           ,50101,42671,2499.288,2.411,27.951,Medio
Liberia           ,50101,42678,2454.973,2.885,23.55,Bajo Medio
Liberia           ,50101,42697,2529.69,3.083,30.971,Alto Medio
Liberia           ,50101,42700,2410.687,2.471,19.151,Bajo
Liberia           ,50101,42707,2495.793,3.547,27.604,Medio
Liberia           ,50101,42716,2542.912,4.96,32.284,Alto Medio
Liberia           ,50101,42749,2471.197,3.13,25.161,Bajo Medio
Liberia           ,50101,42767,2518.924,0.0,29.901,Medio
Liberia           ,50101,42769,2529.218,0.59,30.924,Alto Medio
Liberia           ,50101,42770,2499.469,3.239,27.969,Medio
Liberia           ,50101,42771,2467.856,2.219,24.829,Bajo Medio
Liberia           ,50101,42778,2518.353,0.603,29.845,Medio
Liberia           ,50101,42780,2499.792,2.345,28.001,Medio
Liberia           ,50101,42791,2506.893,0.799,28.706,Medio
Liberia           ,50101,42793,2496.525,2.849,27.677,Medio
Liberia           ,50101,42830,2472.29,3.278,25.27,Bajo Medio
Liberia           ,50101,42833,2545.777,0.829,32.568,Alto Medio
Liberia           ,50101,42836,2526.528,3.801,30.657,Alto Medio
Liberia           ,50101,42857,2263.291,3.577,4.512,Bajo
Liberia           ,50101,42864,2511.433,2.593,29.157,Medio
Liberia           ,50101,42878,2517.087,0.622,29.719,Medio
Liberia           ,50101,42882,2484.699,2.425,26.502,Bajo Medio
Liberia           ,50101,42884,2463.0,2.933,24.347,Bajo Medio
Liberia           ,50101,42925,2476.013,3.739,25.639,Bajo Medio
Liberia           ,50101,42941,2460.766,0.539,24.125,Bajo Medio
Liberia           ,50101,43000,2572.876,0.0,35.26,Alto Medio
Liberia           ,50101,43003,2456.116,2.608,23.663,Bajo Medio
Liberia           ,50101,43006,2497.378,3.333,27.761,Medio
Liberia           ,50101,43013,2485.333,0.574,26.565,Bajo Medio
Liberia           ,50101,43017,2500.357,0.557,28.057,Medio
Liberia           ,50101,43043,2495.097,2.925,27.535,Medio
Liberia           ,50101,43080,2515.593,0.674,29.571,Medio
Liberia           ,50101,43102,2502.821,0.59,28.302,Medio
Liberia           ,50101,43124,2571.732,0.0,35.146,Alto Medio
